PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
59 8	Darius Bazley	SF,PF	OKL	64	30.1	0.460	5.4	11.8	0.08	0.761	1.4	1.9	-0.11	1.8	0.32	14.1	0.17	8.0	1.22	1.6	-0.53	0.9	-0.12	1.2	1.52	1.6	0.02	2.56
60 6	Collin Sexton	PG,SG	CLE	70	34.9	0.473	8.5	18.0	0.63	0.858	3.8	4.4	1.71	1.8	0.31	22.6	1.51	3.6	-0.57	3.7	0.68	1.1	0.47	0.1	-1.03	2.7	-1.36	2.37
61 19	Robert Williams	C	BOS	54	18.2	0.727	2.8	3.9	2.64	0.702	1.1	1.5	-0.49	0.0	-1.75	6.7	-0.99	5.7	0.28	1.2	-0.75	1.1	0.35	1.5	2.31	0.9	0.77	2.37
62 9	Jrue Holiday	PG,SG	MIL	63	31.4	0.461	6.5	14.1	0.09	0.749	2.0	2.7	-0.27	1.8	0.32	16.8	0.60	4.3	-0.25	5.1	1.46	1.5	1.41	0.7	0.44	2.9	-1.52	2.28
63 8	Shai Gilgeous-Alexander	SG,SF	OKL	68	33.4	0.450	7.0	15.6	-0.32	0.805	4.1	5.1	0.78	1.5	-0.05	19.7	1.05	5.5	0.21	5.6	1.74	0.9	0.00	0.7	0.35	2.8	-1.50	2.26
64 16	Ben Simmons	PG	PHI	65	35.2	0.526	5.8	11.0	1.87	0.634	3.3	5.2	-3.15	0.0	-1.73	14.9	0.29	8.8	1.54	8.1	3.15	1.9	2.46	0.6	0.14	3.5	-2.34	2.23
65 13	OG Anunoby	SF,PF	TOR	70	32.8	0.441	4.6	10.5	-0.42	0.704	1.2	1.7	-0.52	1.5	0.01	12.0	-0.16	6.1	0.44	1.8	-0.39	2.0	2.61	0.8	0.56	1.5	0.07	2.20
66 7	Enes Kanter	C	POR	55	26.0	0.569	5.5	9.6	2.66	0.704	1.8	2.6	-0.78	0.0	-1.74	12.7	-0.04	10.5	2.24	1.6	-0.49	0.7	-0.65	1.1	1.26	1.8	-0.28	2.18
67 3	Marcus Smart	PG,SG	BOS	67	32.1	0.379	4.3	11.4	-2.22	0.837	2.1	2.5	0.71	2.3	0.89	13.0	0.00	3.8	-0.47	5.1	1.45	1.6	1.69	0.8	0.47	1.9	-0.38	2.13
68 16	Jarrett Allen	C	CLE	70	24.4	0.615	4.0	6.5	2.55	0.725	2.2	3.1	-0.63	0.0	-1.74	10.2	-0.45	8.7	1.50	1.2	-0.75	0.5	-1.14	1.5	2.10	1.0	0.68	2.12
69 13	Donovan Mitchell	PG,SG	UTA	70	34.9	0.421	8.6	20.5	-1.93	0.852	4.2	4.9	1.76	2.8	1.41	24.2	1.77	4.6	-0.15	4.8	1.27	1.1	0.45	0.2	-0.79	3.0	-1.68	2.11
70 23	Devin Booker	SG,SF	PHX	70	35.6	0.472	7.9	16.8	0.55	0.830	5.2	6.3	1.65	2.2	0.77	23.2	1.61	3.5	-0.60	4.5	1.13	1.0	0.17	0.3	-0.58	3.7	-2.59	2.11
71 5	Lauri Markkanen	PF,C	CHI	50	32.5	0.435	6.0	13.8	-0.78	0.835	3.3	3.9	1.10	2.4	1.01	17.7	0.74	7.2	0.90	1.6	-0.50	0.9	-0.02	0.5	-0.02	1.9	-0.32	2.10
