PLAYER	POS	TEAM	GP	MPG	FGM	FGA	FTM	FTA	3PM	PTS	TREB	AST	STL	BLK	TO	TOTAL
Seth Curry	PG,SG	PHI	67	26.7	4.9	10.2	1.4	1.7	2.6	13.9	2.4	2.0	0.7	0.1	1.2
Lou Williams	PG,SG	LAC	68	27.2	5.8	13.7	4.3	4.9	1.6	17.5	2.9	5.3	0.7	0.2	2.7
Montrezl Harrell	PF,C	LAL	64	26.1	6.3	10.8	3.3	5.0	0.0	15.9	6.3	1.5	0.5	1.0	1.5
Mo Bamba	C	ORL	63	17.6	2.6	5.7	0.6	1.0	0.9	6.7	6.0	0.9	0.5	1.7	0.9
Royce O'Neale	SF,PF	UTA	70	28.2	2.4	5.3	0.6	0.8	1.3	6.7	5.4	2.4	1.0	0.5	1.0
Jeremy Lamb	SG,SF	IND	58	24.7	4.1	9.1	1.8	2.1	1.1	11.1	3.8	1.9	1.1	0.4	1.0
Devonte' Graham	PG,SG	CHA	70	30.6	5.0	13.2	2.5	3.0	3.0	15.5	2.9	5.8	1.1	0.2	2.6
Miles Bridges	SF,PF	CHA	70	28.4	5.1	11.3	1.5	1.9	1.4	13.1	5.3	1.7	0.6	0.8	1.5
DeMarcus Cousins	PF,C	HOU	30	23.2	3.3	6.7	2.5	3.5	1.0	10.1	6.4	1.9	0.9	1.1	2.2
Aron Baynes	C	TOR	58	27.6	4.9	10.2	1.6	2.2	1.4	12.8	7.2	2.0	0.3	0.6	1.5
Danuel House Jr.	SF,PF	HOU	58	28.9	3.5	8.2	1.1	1.5	1.9	10.1	4.0	1.2	1.1	0.5	0.8
Dorian Finney-Smith	SF,PF	DAL	70	26.1	3.2	7.0	1.1	1.4	1.6	9.0	5.3	1.6	0.8	0.6	1.0
Matisse Thybulle	SG,SF	PHI	64	25.1	2.4	5.5	0.5	0.7	1.1	6.4	2.1	1.5	1.7	0.9	1.0
Harrison Barnes	SF,PF	SAC	70	33.8	4.9	10.6	2.9	3.6	1.4	14.2	4.8	2.1	0.6	0.2	1.2
John Wall	PG	HOU	55	30.1	6.1	14.2	2.9	4.0	1.8	17.0	3.5	7.5	1.2	0.6	4.1
Coby White	PG,SG	CHI	70	32.1	6.3	15.1	2.0	2.5	2.7	17.2	4.4	3.4	1.0	0.1	2.2
Robert Williams	C	BOS	24	14.2	2.1	2.9	0.8	1.2	0.0	5.0	4.2	0.9	0.8	1.2	0.7
Cody Zeller	C	CHA	58	26.1	4.6	9.1	2.2	3.1	0.4	11.9	6.9	1.7	0.8	0.7	1.5
Tim Hardaway Jr.	SG,SF	DAL	67	29.6	5.5	12.5	2.1	2.6	2.9	15.9	3.4	1.9	0.6	0.1	1.3
Ricky Rubio	PG	MIN	64	26.4	3.4	8.2	2.3	2.7	0.9	10.1	3.3	6.0	1.1	0.2	2.1
Troy Brown Jr.	SG,SF	WAS	67	25.8	3.9	8.9	1.6	2.0	1.1	10.5	5.4	2.6	1.2	0.1	1.2
Trevor Ariza	SG,SF	OKL	58	24.8	2.4	5.5	0.7	0.8	1.7	7.2	4.8	1.7	1.2	0.2	1.3
Blake Griffin	PF,C	DET	58	32.4	5.2	11.7	4.3	5.6	1.6	16.3	7.3	3.6	0.5	0.4	2.6
Killian Hayes	PG,SG	DET	64	28.6	5.5	12.7	1.7	2.0	0.9	13.7	3.1	6.0	1.2	0.2	2.7
Joe Harris	SG,SF	BRO	70	30.2	5.4	11.2	0.9	1.2	2.5	14.2	3.8	1.7	0.6	0.2	1.6
Gary Harris	SG,SF	DEN	67	31.4	4.3	10.2	1.4	1.7	1.4	11.5	3.1	2.2	1.4	0.3	1.4
Tyrese Haliburton	PG,SG	SAC	64	26.4	4.5	10.1	1.4	1.7	1.4	11.8	3.4	3.8	1.2	0.3	2.1
Julius Randle	PF,C	NYK	65	32.2	6.5	14.1	3.9	5.4	1.2	18.2	9.3	3.0	0.8	0.3	2.9
Danny Green	SG,SF	PHI	70	24.9	2.9	7.0	0.5	0.7	1.9	8.2	3.4	1.3	1.2	0.6	0.9
Justin Holiday	SG,SF	IND	67	22.5	2.6	6.1	0.6	0.8	1.7	7.5	2.9	1.2	1.1	0.6	0.6
Kevin Porter Jr.	SG,SF	CLE	64	27.9	5.0	11.1	2.1	2.7	1.8	13.9	4.3	2.7	1.1	0.4	2.4
Derrick Favors	PF,C	UTA	60	18.6	3.2	5.1	0.6	1.1	0.0	7.0	7.2	1.2	0.5	0.8	0.9
Joe Ingles	SG,SF	UTA	68	27.6	3.2	7.2	0.9	1.2	1.9	9.1	3.6	4.8	0.8	0.2	1.9
Josh Okogie	SG,SF	MIN	68	25.3	3.0	6.8	2.5	3.1	0.9	9.4	4.3	1.6	1.2	0.4	1.4
Andrew Wiggins	SG,SF	GSW	67	32.8	6.9	15.3	3.2	4.5	1.7	18.7	4.1	3.1	0.7	0.8	2.3
Mason Plumlee	PF,C	DET	60	27.6	4.3	7.3	2.1	3.7	0.0	10.8	7.8	3.7	0.8	0.9	2.0
Svi Mykhailiuk	SF	DET	67	26.8	3.9	9.1	1.2	1.5	2.5	11.5	2.4	2.4	0.9	0.1	1.4
Gary Trent Jr.	SG,SF	POR	64	26.4	3.3	7.5	0.8	1.0	2.2	9.7	2.0	1.2	1.1	0.4	1.3
Monte Morris	PG,SG	DEN	67	22.7	3.8	8.2	1.0	1.3	0.9	9.5	1.9	3.7	0.8	0.2	0.7
Dario Saric	PF,C	PHX	60	22.1	3.5	7.3	1.4	1.7	1.4	9.8	5.5	1.7	0.5	0.2	1.3
LaMelo Ball	PG,SG	CHA	65	28.4	4.9	12.4	1.8	2.4	1.6	13.3	5.1	6.1	1.2	0.2	2.8
Dennis Schroder	PG	LAL	67	28.9	5.7	12.7	2.5	3.0	1.6	15.6	3.0	3.4	0.6	0.2	2.1
Kevin Huerter	SG,SF	ATL	67	26.2	3.8	9.0	0.8	1.0	2.0	10.3	2.7	3.1	0.8	0.4	1.3
Enes Kanter	C	POR	55	16.0	3.4	5.9	1.1	1.6	0.0	7.8	7.1	1.0	0.4	0.7	1.1
Gorgui Dieng	PF,C	MEM	58	13.7	2.4	4.9	0.8	1.1	0.8	6.5	4.5	1.1	0.7	0.7	0.8
Michael Carter-Williams	PG,SG	ORL	58	18.1	2.5	5.8	1.8	2.1	0.5	7.3	3.2	2.4	1.1	0.5	1.2
Josh Hart	SG,SF	NOP	65	23.3	3.1	7.2	1.2	1.6	1.7	9.0	5.2	1.5	0.9	0.4	1.1
