PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
221 20	Marc Gasol	C	LAL	3	15.8	0.165	0.3	2.0	-0.35	1.000	0.7	0.7	0.34	0.3	-0.86	1.7	-1.31	3.3	-0.46	1.3	-0.34	0.0	-1.23	1.3	1.39	0.0	0.91	-1.92
222 16	Matisse Thybulle	SG,SF	PHI	4	19.6	0.294	1.3	4.3	-0.47	0.000	0.0	0.0	0.00	0.3	-0.93	2.8	-1.17	1.3	-1.13	0.5	-0.72	1.5	1.08	0.8	0.69	0.3	0.63	-2.01
223 22	Willie Cauley-Stein	PF,C	DAL	4	19.6	0.500	2.5	5.0	0.45	0.500	1.3	2.5	-1.49	0.0	-1.15	6.3	-0.71	3.8	-0.30	1.0	-0.48	0.8	0.00	0.8	0.69	0.0	0.91	-2.08
224 3	Damyean Dotson	SG	CLE	4	17.0	0.440	2.8	6.3	0.12	0.667	0.5	0.8	-0.17	1.8	0.40	7.8	-0.52	1.3	-1.13	1.8	-0.10	0.5	-0.46	0.0	-0.42	0.8	0.18	-2.09
225 15	Onyeka Okongwu	PF,C	ATL	3	11.3	0.665	1.3	2.0	0.67	0.000	0.0	0.7	-1.14	0.0	-1.15	2.7	-1.18	3.0	-0.56	0.0	-0.96	0.3	-0.77	2.0	2.36	0.3	0.63	-2.10
226 66	Ricky Rubio	PG	MIN	3	22.9	0.222	1.3	6.0	-1.21	0.734	3.7	5.0	-0.40	0.0	-1.15	6.3	-0.71	5.0	0.10	7.7	2.74	1.7	1.39	0.0	-0.42	3.7	-2.45	-2.11
227 10	Kevon Looney	PF,C	GSW	4	14.6	0.625	1.3	2.0	0.59	0.500	0.3	0.5	-0.30	0.3	-0.93	3.0	-1.14	3.8	-0.30	2.0	0.00	0.3	-0.77	0.5	0.28	0.5	0.45	-2.12
228 22	Moses Brown	C	POR	1	5.7	1.000	2.0	2.0	1.35	1.000	2.0	2.0	1.02	0.0	-1.15	6.0	-0.75	2.0	-0.90	0.0	-0.96	0.0	-1.23	0.0	-0.42	0.0	0.91	-2.14
229 28	Nickeil Alexander-Walker	SG,SF	NOP	3	23.2	0.384	3.3	8.7	-0.42	0.802	2.7	3.3	0.23	0.7	-0.56	10.0	-0.23	3.0	-0.56	2.0	0.00	1.0	0.31	0.3	0.00	2.0	-0.91	-2.14
230 6	Cameron Payne	PG,SG	PHX	3	16.8	0.231	1.0	4.3	-0.76	1.000	1.7	1.7	0.85	0.3	-0.86	4.0	-1.01	1.3	-1.13	2.7	0.34	0.7	-0.15	0.7	0.56	1.0	0.00	-2.18
231 19	Marcus Morris Sr.	PF,C	LAC	2	25.3	0.333	2.5	7.5	-0.72	1.000	1.0	1.0	0.51	1.5	0.18	7.5	-0.56	4.0	-0.23	0.5	-0.72	0.5	-0.46	0.5	0.28	1.5	-0.45	-2.18
232 48	Steven Adams	C	NOP	3	25.8	0.500	3.0	6.0	0.50	0.493	0.3	0.7	-0.41	0.0	-1.15	6.3	-0.71	9.3	1.53	2.0	0.00	0.7	-0.15	0.3	0.00	3.0	-1.81	-2.22
233 35	Draymond Green	PF,C	GSW	4	24.4	0.407	2.8	6.8	-0.11	1.000	0.3	0.3	0.13	0.8	-0.49	6.5	-0.69	2.8	-0.63	6.0	1.92	0.3	-0.77	0.0	-0.42	2.3	-1.18	-2.23
234 34	Terence Davis	SG,SF	TOR	4	11.0	0.480	3.0	6.3	0.38	0.000	0.0	0.0	0.00	1.8	0.40	7.8	-0.52	1.5	-1.06	0.8	-0.58	1.0	0.31	0.3	0.00	2.3	-1.18	-2.25
235 11	Damion Lee	SG,SF	GSW	4	15.6	0.400	1.5	3.8	0.02	1.000	1.5	1.5	0.76	0.5	-0.71	5.0	-0.88	3.8	-0.30	0.8	-0.58	0.0	-1.23	0.3	0.00	0.3	0.63	-2.28
236 12	Furkan Korkmaz	SG,SF	PHI	4	16.2	0.360	2.3	6.3	-0.39	0.800	1.0	1.3	0.08	1.5	0.18	7.0	-0.62	2.5	-0.73	0.8	-0.58	0.5	-0.46	0.0	-0.42	0.3	0.63	-2.30
237 7	Dwayne Bacon	SG	ORL	4	18.3	0.457	4.0	8.8	0.22	1.000	0.5	0.5	0.25	0.8	-0.49	9.3	-0.32	2.8	-0.63	1.0	-0.48	0.5	-0.46	0.0	-0.42	1.0	0.00	-2.32
238 20	Timothe Luwawu-Cabarrot	SG,SF	BRO	4	16.6	0.269	1.8	6.5	-1.02	0.000	0.0	0.0	0.00	1.3	-0.04	4.8	-0.91	1.8	-0.96	2.3	0.14	0.5	-0.46	0.3	0.00	0.0	0.91	-2.35
239 16	Elfrid Payton	PG	NYK	3	30.8	0.355	3.7	10.3	-0.86	0.777	2.3	3.0	0.04	0.3	-0.86	10.0	-0.23	2.7	-0.66	3.3	0.62	0.7	-0.15	0.3	0.00	1.3	-0.27	-2.37
240 6	Chimezie Metu	PF	SAS	2	11.8	0.333	1.0	3.0	-0.14	0.000	0.0	0.0	0.00	0.0	-1.15	2.0	-1.27	4.5	-0.07	0.0	-0.96	0.5	-0.46	1.5	1.67	1.0	0.00	-2.39
241 3	Boban Marjanovic	C	DAL	2	11.0	0.583	3.5	6.0	1.01	0.750	1.5	2.0	-0.09	0.0	-1.15	8.5	-0.43	6.0	0.43	0.0	-0.96	0.0	-1.23	0.0	-0.42	0.5	0.45	-2.39
242 7	JaVale McGee	C	CLE	2	14.2	0.500	4.0	8.0	0.58	0.500	1.5	3.0	-1.79	0.0	-1.15	9.5	-0.30	4.0	-0.23	0.5	-0.72	0.5	-0.46	1.5	1.67	1.0	0.00	-2.41
243 17	Mychal Mulder	PG	GSW	4	8.8	0.600	0.8	1.3	0.43	1.000	0.5	0.5	0.25	0.5	-0.71	2.5	-1.21	0.5	-1.39	0.5	-0.72	0.8	0.00	0.3	0.00	0.0	0.91	-2.44
244 17	JaKarr Sampson	SF,PF	IND	1	7.3	0.333	1.0	3.0	-0.14	0.000	0.0	0.0	0.00	0.0	-1.15	2.0	-1.27	6.0	0.43	0.0	-0.96	0.0	-1.23	1.0	0.97	0.0	0.91	-2.45
245 18	Frank Kaminsky	C	SAC	3	16.2	0.375	2.0	5.3	-0.21	0.000	0.0	0.0	0.00	0.7	-0.56	4.7	-0.92	2.7	-0.66	1.3	-0.34	0.0	-1.23	0.7	0.56	0.0	0.91	-2.46
246 18	Precious Achiuwa	SF,PF	MIA	4	21.6	0.700	1.8	2.5	0.86	0.625	1.3	2.0	-0.64	0.0	-1.15	4.8	-0.91	2.8	-0.63	0.5	-0.72	0.8	0.00	1.0	0.97	1.3	-0.27	-2.49
247 9	Tristan Thompson	PF,C	BOS	4	21.7	0.333	1.3	3.8	-0.24	0.500	0.3	0.5	-0.30	0.0	-1.15	2.8	-1.17	9.0	1.43	1.0	-0.48	0.0	-1.23	0.3	0.00	0.3	0.63	-2.51
248 1	Javonte Green	PG	BOS	4	19.2	0.421	2.0	4.8	0.06	0.667	0.5	0.8	-0.17	0.5	-0.71	5.0	-0.88	4.5	-0.07	0.8	-0.58	0.5	-0.46	0.3	0.00	0.8	0.18	-2.63
249 35	Alex Len	PF,C	TOR	1	20.7	0.667	4.0	6.0	1.52	0.500	2.0	4.0	-2.39	1.0	-0.27	11.0	-0.10	5.0	0.10	1.0	-0.48	1.0	0.31	0.0	-0.42	2.0	-0.91	-2.63
250 30	Shake Milton	PG,SG	PHI	4	23.0	0.333	3.0	9.0	-0.91	1.000	3.3	3.3	1.65	0.8	-0.49	10.0	-0.23	1.8	-0.96	1.8	-0.10	0.5	-0.46	0.0	-0.42	1.8	-0.72	-2.65
251 8	Markieff Morris	PF,C	LAL	2	13.0	0.600	1.5	2.5	0.61	1.000	1.5	1.5	0.76	1.0	-0.27	5.5	-0.82	1.5	-1.06	1.5	-0.24	0.0	-1.23	0.0	-0.42	1.0	0.00	-2.67
252 17	Maurice Harkless	SF,PF	MIA	2	20.1	1.000	1.0	1.0	0.80	0.000	0.0	0.0	0.00	1.0	-0.27	3.0	-1.14	0.5	-1.39	0.5	-0.72	0.0	-1.23	0.5	0.28	0.0	0.91	-2.77
253 4	Kyle Kuzma	SF,PF	LAL	3	22.2	0.333	2.0	6.0	-0.53	0.000	0.0	0.0	0.00	0.3	-0.86	4.3	-0.97	6.0	0.43	0.7	-0.62	0.0	-1.23	1.0	0.97	1.0	0.00	-2.81
254 3	Jakob Poeltl	C	SAS	3	21.3	0.501	2.7	5.3	0.47	0.000	0.0	1.0	-1.70	0.0	-1.15	5.3	-0.84	5.3	0.20	0.7	-0.62	0.7	-0.15	1.0	0.97	1.0	0.00	-2.83
255 3	Saben Lee	PG	DET	2	12.2	0.500	0.5	1.0	0.29	1.000	2.0	2.0	1.02	0.0	-1.15	3.0	-1.14	1.0	-1.23	2.5	0.24	0.5	-0.46	0.0	-0.42	1.0	0.00	-2.85
256 2	Josh Green	SG,SF	DAL	3	19.9	0.437	2.3	5.3	0.13	0.493	0.3	0.7	-0.41	0.3	-0.86	5.3	-0.84	4.7	0.00	1.3	-0.34	0.7	-0.15	0.0	-0.42	1.0	0.00	-2.90
257 10	Aaron Holiday	PG	IND	4	20.0	0.371	3.3	8.8	-0.54	0.000	0.0	0.0	0.00	1.8	0.40	8.3	-0.45	1.0	-1.23	1.3	-0.34	0.0	-1.23	0.3	0.00	0.5	0.45	-2.94
258 3	Theo Maledon	PG	OKL	4	19.6	0.308	2.0	6.5	-0.76	0.000	0.0	0.0	0.00	1.0	-0.27	5.0	-0.88	3.5	-0.40	2.5	0.24	0.5	-0.46	0.0	-0.42	1.0	0.00	-2.95
259	Jordan Poole	PG,SG	GSW	4	9.5	0.412	1.8	4.3	0.04	0.800	1.0	1.3	0.08	1.0	-0.27	5.5	-0.82	1.8	-0.96	1.3	-0.34	0.5	-0.46	0.0	-0.42	0.8	0.18	-2.96
260 2	Svi Mykhailiuk	SF	DET	4	8.9	0.462	1.5	3.3	0.26	0.750	1.5	2.0	-0.09	1.3	-0.04	5.8	-0.78	1.5	-1.06	0.8	-0.58	0.5	-0.46	0.0	-0.42	0.8	0.18	-2.99
261 8	Tomas Satoransky	PG,SG	CHI	3	15.6	0.333	1.0	3.0	-0.14	0.504	0.7	1.3	-0.78	0.7	-0.56	3.3	-1.10	1.0	-1.23	4.3	1.11	1.0	0.31	0.0	-0.42	1.3	-0.27	-3.08
262 19	Tyrell Terry	PG	DAL	1	12.0	0.250	1.0	4.0	-0.61	0.000	0.0	0.0	0.00	0.0	-1.15	2.0	-1.27	2.0	-0.90	2.0	0.00	1.0	0.31	0.0	-0.42	0.0	0.91	-3.13
263 68	LaMelo Ball	PG,SG	CHA	3	21.8	0.393	3.7	9.3	-0.39	0.599	1.0	1.7	-0.63	0.7	-0.56	9.0	-0.36	2.7	-0.66	4.7	1.30	1.0	0.31	0.7	0.56	4.0	-2.72	-3.16
264 18	Thanasis Antetokounmpo	SF	MIL	1	6.9	1.000	1.0	1.0	0.80	0.000	0.0	0.0	0.00	0.0	-1.15	2.0	-1.27	1.0	-1.23	0.0	-0.96	0.0	-1.23	1.0	0.97	0.0	0.91	-3.17
265	Brad Wanamaker	PG,SG	GSW	4	17.8	0.286	1.5	5.3	-0.68	0.857	1.5	1.8	0.34	0.3	-0.93	4.8	-0.91	1.5	-1.06	1.5	-0.24	1.0	0.31	0.3	0.00	1.0	0.00	-3.18
266 20	Kenrich Williams	SF,PF	NOP	4	12.6	0.375	1.5	4.0	-0.10	0.500	0.3	0.5	-0.30	0.3	-0.93	3.5	-1.08	3.5	-0.40	1.0	-0.48	0.5	-0.46	0.0	-0.42	0.0	0.91	-3.26
267 11	Abdel Nader	SF,PF	PHX	3	20.1	0.471	2.7	5.7	0.31	0.504	0.7	1.3	-0.78	0.7	-0.56	6.7	-0.66	3.0	-0.56	1.0	-0.48	0.3	-0.77	0.0	-0.42	0.3	0.63	-3.29
268 12	Luke Kennard	SG,SF	LAC	3	21.9	0.333	2.0	6.0	-0.53	0.000	0.0	0.0	0.00	0.7	-0.56	4.7	-0.92	3.0	-0.56	1.7	-0.14	0.0	-1.23	0.3	0.00	0.3	0.63	-3.31
269 2	Nico Mannion	PG	GSW	3	6.7	0.429	1.0	2.3	0.18	0.493	0.3	0.7	-0.41	0.7	-0.56	3.0	-1.14	0.3	-1.46	2.7	0.34	0.7	-0.15	0.0	-0.42	0.7	0.27	-3.36
270 6	Reggie Perry	PF	BRO	4	12.6	0.316	1.5	4.8	-0.45	0.800	1.0	1.3	0.08	0.0	-1.15	4.0	-1.01	4.5	-0.07	0.5	-0.72	0.5	-0.46	0.8	0.69	1.3	-0.27	-3.36
271 8	Bryn Forbes	PG,SG	MIL	2	11.8	0.571	2.0	3.5	0.65	1.000	2.0	2.0	1.02	0.5	-0.71	6.5	-0.69	0.0	-1.56	0.0	-0.96	0.0	-1.23	0.0	-0.42	0.5	0.45	-3.45
272 15	Ben McLemore	SG,SF	HOU	3	16.7	0.295	1.7	5.7	-0.71	1.000	0.3	0.3	0.17	1.0	-0.27	4.7	-0.92	3.7	-0.33	2.0	0.00	0.3	-0.77	0.3	0.00	1.7	-0.63	-3.47
273 3	Lou Williams	PG,SG	LAC	3	16.4	0.240	2.0	8.3	-1.62	1.000	1.7	1.7	0.85	1.0	-0.27	6.7	-0.66	1.0	-1.23	3.3	0.62	0.3	-0.77	0.0	-0.42	1.0	0.00	-3.49
274 17	Jevon Carter	PG	PHX	3	10.4	0.333	1.3	4.0	-0.27	0.000	0.0	0.0	0.00	1.0	-0.27	3.7	-1.05	1.7	-0.99	0.7	-0.62	0.3	-0.77	0.0	-0.42	0.0	0.91	-3.49
275 33	Georges Niang	SF,PF	UTA	3	15.2	0.454	3.3	7.3	0.21	0.000	0.0	0.0	0.00	1.7	0.33	8.3	-0.45	2.0	-0.90	1.3	-0.34	0.3	-0.77	0.0	-0.42	2.3	-1.18	-3.52
276	Sekou Doumbouya	SF,PF	DET	4	12.0	0.389	1.8	4.5	-0.08	0.833	1.3	1.5	0.21	0.8	-0.49	5.5	-0.82	2.8	-0.63	0.5	-0.72	0.3	-0.77	0.0	-0.42	0.8	0.18	-3.53
277	JJ Redick	SG	NOP	3	15.1	0.278	1.7	6.0	-0.86	1.000	1.3	1.3	0.68	1.0	-0.27	5.7	-0.79	1.0	-1.23	1.7	-0.14	0.3	-0.77	0.0	-0.42	0.7	0.27	-3.53
278 17	Tyler Bey	SF	DAL	1	7.3	0.667	2.0	3.0	0.88	0.500	1.0	2.0	-1.19	0.0	-1.15	5.0	-0.88	2.0	-0.90	0.0	-0.96	0.0	-1.23	1.0	0.97	0.0	0.91	-3.56
279 6	Glenn Robinson III	SG,SF	SAC	2	17.1	0.353	3.0	8.5	-0.68	0.500	0.5	1.0	-0.60	2.0	0.62	8.5	-0.43	1.5	-1.06	1.5	-0.24	0.0	-1.23	0.0	-0.42	0.5	0.45	-3.58
280 6	Tacko Fall	C	BOS	1	8.6	0.000	0.0	1.0	-0.22	0.000	0.0	0.0	0.00	0.0	-1.15	0.0	-1.53	2.0	-0.90	0.0	-0.96	0.0	-1.23	2.0	2.36	1.0	0.00	-3.63
281 6	Denzel Valentine	SG,SF	CHI	3	18.8	0.291	2.3	8.0	-1.13	0.000	0.0	0.0	0.00	1.7	0.33	6.3	-0.71	2.3	-0.80	1.7	-0.14	0.3	-0.77	0.0	-0.42	1.0	0.00	-3.64
282 2	Caleb Martin	SG,SF	CHA	3	12.8	0.362	1.3	3.7	-0.12	0.000	0.0	0.0	0.00	0.0	-1.15	2.7	-1.18	3.3	-0.46	1.0	-0.48	0.7	-0.15	0.0	-0.42	0.7	0.27	-3.69
283 7	Facundo Campazzo	PG	DEN	4	13.2	0.200	0.5	2.5	-0.41	0.000	0.0	0.0	0.00	0.5	-0.71	1.5	-1.34	0.5	-1.39	1.5	-0.24	1.0	0.31	0.0	-0.42	0.5	0.45	-3.75
284 16	Aleksej Pokuševski	SF	OKL	4	19.1	0.174	1.0	5.8	-1.43	0.000	0.0	0.0	0.00	0.8	-0.49	2.8	-1.17	2.8	-0.63	1.8	-0.10	0.5	-0.46	1.0	0.97	1.5	-0.45	-3.76
285 2	DeAndre' Bembry	SF,PF	TOR	3	9.4	0.599	1.0	1.7	0.49	0.000	0.0	0.0	0.00	0.0	-1.15	2.0	-1.27	1.7	-0.99	1.3	-0.34	0.3	-0.77	0.3	0.00	0.7	0.27	-3.77
286 50	Mason Plumlee	PF,C	DET	4	23.7	0.520	3.3	6.3	0.63	0.583	1.8	3.0	-1.24	0.0	-1.15	8.3	-0.45	8.3	1.19	2.0	0.00	0.0	-1.23	0.5	0.28	3.0	-1.81	-3.78
287 14	Daniel Gafford	C	CHI	3	15.8	0.498	1.3	2.7	0.35	0.599	1.0	1.7	-0.63	0.0	-1.15	3.7	-1.05	3.3	-0.46	0.3	-0.82	0.3	-0.77	1.0	0.97	1.3	-0.27	-3.83
288 12	Paul Watson	PG,SF,PF	TOR	2	3.2	1.000	1.0	1.0	0.80	0.000	0.0	0.0	0.00	1.0	-0.27	3.0	-1.14	0.0	-1.56	0.0	-0.96	0.0	-1.23	0.0	-0.42	0.0	0.91	-3.87
289 6	John Wall	PG	HOU	1	20.7	0.333	3.0	9.0	-0.91	0.500	1.0	2.0	-1.19	0.0	-1.15	7.0	-0.62	1.0	-1.23	8.0	2.88	0.0	-1.23	0.0	-0.42	1.0	0.00	-3.87
290 8	Udoka Azubuike	C	UTA	3	4.5	0.493	0.3	0.7	0.27	1.000	0.7	0.7	0.34	0.0	-1.15	1.3	-1.36	1.7	-0.99	0.0	-0.96	0.0	-1.23	0.7	0.56	0.3	0.63	-3.90
291 25	Darius Garland	PG	CLE	3	23.6	0.312	3.3	10.7	-1.36	1.000	1.7	1.7	0.85	0.3	-0.86	8.7	-0.40	1.3	-1.13	4.3	1.11	0.0	-1.23	0.3	0.00	2.0	-0.91	-3.94
292 12	Vlatko Cancar	SF,PF	DEN	1	4.4	0.000	0.0	1.0	-0.22	0.000	0.0	0.0	0.00	0.0	-1.15	0.0	-1.53	2.0	-0.90	0.0	-0.96	1.0	0.31	0.0	-0.42	0.0	0.91	-3.96
293 5	Rodions Kurucs	PF,C	HOU	1	5.5	0.500	1.0	2.0	0.33	0.000	0.0	0.0	0.00	0.0	-1.15	2.0	-1.27	2.0	-0.90	0.0	-0.96	1.0	0.31	0.0	-0.42	1.0	0.00	-4.06
294 12	Kevin Knox II	SF,PF	NYK	3	13.8	0.231	1.0	4.3	-0.76	1.000	0.7	0.7	0.34	0.7	-0.56	3.3	-1.10	1.0	-1.23	1.0	-0.48	0.3	-0.77	0.0	-0.42	0.0	0.91	-4.07
295 6	KZ Okpala	SF	MIA	3	11.8	0.401	0.7	1.7	0.15	0.000	0.0	0.0	0.00	0.7	-0.56	2.0	-1.27	1.7	-0.99	0.3	-0.82	0.0	-1.23	0.3	0.00	0.3	0.63	-4.09
296 6	Semi Ojeleye	SF,PF	BOS	4	18.5	0.375	0.8	2.0	0.08	0.500	0.3	0.5	-0.30	0.5	-0.71	2.3	-1.23	2.0	-0.90	1.0	-0.48	0.3	-0.77	0.0	-0.42	0.3	0.63	-4.09
297 11	Wes Iwundu	SG,SF	DAL	4	16.2	0.111	0.3	2.3	-0.55	0.750	0.8	1.0	-0.04	0.0	-1.15	1.3	-1.36	2.5	-0.73	0.5	-0.72	0.5	-0.46	0.3	0.00	0.0	0.91	-4.12
298 9	Jeff Teague	PG,SG	BOS	4	17.6	0.300	1.5	5.0	-0.57	1.000	0.8	0.8	0.38	0.3	-0.93	4.0	-1.01	1.3	-1.13	2.3	0.14	0.5	-0.46	0.0	-0.42	1.3	-0.27	-4.26
299 4	Nassir Little	SF	POR	2	13.7	0.200	0.5	2.5	-0.41	1.000	1.0	1.0	0.51	0.0	-1.15	2.0	-1.27	2.5	-0.73	0.5	-0.72	0.0	-1.23	0.5	0.28	0.5	0.45	-4.28
300 4	Hamidou Diallo	SG,SF	OKL	4	19.8	0.515	4.3	8.3	0.72	0.400	2.0	5.0	-4.09	0.3	-0.93	10.8	-0.13	4.0	-0.23	2.0	0.00	1.3	0.77	0.0	-0.42	1.0	0.00	-4.31
