PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
89 26	Brandon Ingram	SF,PF	NOP	3	35.0	0.519	9.0	17.3	1.30	0.833	3.3	4.0	0.55	2.0	0.62	23.3	1.49	2.7	-0.66	2.7	0.34	0.3	-0.77	1.0	0.97	3.0	-1.81	2.03
90 18	Josh Hart	SG,SF	NOP	3	26.0	0.635	2.3	3.7	0.91	1.000	0.7	0.7	0.34	1.3	0.03	6.7	-0.66	7.0	0.76	1.3	-0.34	1.0	0.31	0.3	0.00	0.3	0.63	1.98
91 19	LaMarcus Aldridge	PF,C	SAS	3	25.9	0.513	6.7	13.0	0.96	0.000	0.0	0.0	0.00	1.7	0.33	15.0	0.42	4.7	0.00	0.7	-0.62	0.0	-1.23	1.3	1.39	0.3	0.63	1.86
92 2	DeMar DeRozan	SG,SF	SAS	3	31.0	0.400	4.7	11.7	-0.46	0.861	8.3	9.7	1.95	0.0	-1.15	17.7	0.77	3.7	-0.33	5.7	1.78	1.0	0.31	0.0	-0.42	1.7	-0.63	1.81
93 17	Jamal Murray	PG,SG	DEN	4	32.4	0.435	6.8	15.5	-0.14	0.857	1.5	1.8	0.34	1.3	-0.04	16.3	0.58	4.5	-0.07	5.0	1.44	1.3	0.77	0.5	0.28	2.5	-1.36	1.81
94 21	Goga Bitadze	C	IND	1	12.0	0.600	3.0	5.0	0.97	1.000	4.0	4.0	2.03	0.0	-1.15	10.0	-0.23	2.0	-0.90	0.0	-0.96	0.0	-1.23	2.0	2.36	0.0	0.91	1.79
95 17	Jrue Holiday	PG,SG	MIL	2	35.8	0.516	8.0	15.5	1.14	0.333	0.5	1.5	-1.45	2.0	0.62	18.5	0.87	5.0	0.10	6.0	1.92	1.0	0.31	0.0	-0.42	2.5	-1.36	1.74
96 3	Jae Crowder	SF,PF	PHX	3	30.0	0.343	4.0	11.7	-1.15	0.858	2.0	2.3	0.45	3.3	1.80	13.3	0.19	4.3	-0.13	1.7	-0.14	1.7	1.39	0.0	-0.42	1.3	-0.27	1.72
97 5	Jalen Brunson	PG,SG	DAL	4	31.6	0.625	5.0	8.0	1.60	0.917	2.8	3.0	0.97	1.3	-0.04	14.0	0.29	2.8	-0.63	4.0	0.96	0.3	-0.77	0.0	-0.42	1.3	-0.27	1.68
98 29	Danilo Gallinari	SF,PF	ATL	2	16.7	0.438	3.5	8.0	0.07	1.000	4.5	4.5	2.29	2.0	0.62	13.5	0.22	3.5	-0.40	1.0	-0.48	0.0	-1.23	0.0	-0.42	0.0	0.91	1.57
99 6	DeAndre Jordan	C	BRO	4	22.7	0.864	4.8	5.5	2.52	0.750	0.8	1.0	-0.04	0.0	-1.15	10.3	-0.19	5.5	0.27	1.0	-0.48	0.3	-0.77	1.5	1.67	1.3	-0.27	1.54
100 11	JaMychal Green	PF,C	DEN	4	20.4	0.400	3.5	8.8	-0.29	0.909	2.5	2.8	0.84	2.0	0.62	11.5	-0.04	6.0	0.43	1.5	-0.24	0.8	0.00	0.3	0.00	0.8	0.18	1.51
101 19	Justin Holiday	SG,SF	IND	4	33.1	0.429	3.8	8.8	-0.03	1.000	0.5	0.5	0.25	2.0	0.62	10.0	-0.23	5.5	0.27	1.3	-0.34	1.0	0.31	0.3	0.00	0.3	0.63	1.48
102 2	Rudy Gay	SF,PF	SAS	3	22.5	0.517	5.0	9.7	0.81	0.858	2.0	2.3	0.45	1.3	0.03	13.3	0.19	6.3	0.53	1.7	-0.14	0.3	-0.77	1.0	0.97	1.7	-0.63	1.44
103 4	Thaddeus Young	PF	CHI	3	26.2	0.625	5.0	8.0	1.60	0.000	0.0	1.3	-2.26	0.0	-1.15	10.0	-0.23	6.3	0.53	5.7	1.78	1.7	1.39	0.3	0.00	1.3	-0.27	1.38
104 7	Robin Lopez	C	WAS	1	24.4	0.600	3.0	5.0	0.97	1.000	2.0	2.0	1.02	0.0	-1.15	8.0	-0.49	7.0	0.76	5.0	1.44	0.0	-1.23	1.0	0.97	2.0	-0.91	1.38
105 45	Aaron Gordon	SF,PF	ORL	3	35.5	0.429	4.0	9.3	-0.05	0.550	3.7	6.7	-3.24	2.3	0.91	14.0	0.29	9.7	1.66	7.7	2.74	0.3	-0.77	2.3	2.78	4.3	-2.99	1.33
106 24	Buddy Hield	SG	SAC	2	29.0	0.391	4.5	11.5	-0.56	0.000	0.0	0.0	0.00	3.0	1.50	12.0	0.03	4.0	-0.23	2.5	0.24	2.0	1.85	0.5	0.28	3.0	-1.81	1.30
107 19	Gary Harris	SG,SF	DEN	4	33.4	0.514	4.5	8.8	0.74	0.833	1.3	1.5	0.21	2.3	0.84	12.5	0.09	2.8	-0.63	2.0	0.00	0.5	-0.46	0.3	0.00	0.5	0.45	1.24
108 7	Victor Oladipo	SG,SF	HOU	2	33.4	0.289	5.5	19.0	-3.06	0.846	5.5	6.5	1.09	1.0	-0.27	17.5	0.74	3.5	-0.40	4.5	1.20	2.0	1.85	1.0	0.97	2.0	-0.91	1.23
109 5	George Hill	PG,SG	OKL	3	26.7	0.615	5.3	8.7	1.62	1.000	0.3	0.3	0.17	2.3	0.91	13.3	0.19	1.7	-0.99	1.7	-0.14	0.7	-0.15	0.0	-0.42	1.0	0.00	1.19
