PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
181	Cam Reddish	SF,PF	NYK	16	23.3	0.451	3.4	7.5		-0.19	0.888	1.5	1.7		0.61	1.0	-0.43	9.3	-0.39	1.9	-1.08	1.0	-0.84	0.9	0.22	0.5	0.00	0.7	0.86	-1.25
182	Yuta Watanabe	SF,PF	BRO	13	17.7	0.600	2.8	4.6		1.10	0.667	0.5	0.7		-0.26	1.5	0.15	7.5	-0.64	2.9	-0.70	0.8	-0.94	0.2	-1.31	0.5	0.00	0.3	1.29	-1.31
183	Georges Niang	SF,PF	PHI	16	19.7	0.473	3.2	6.8		0.09	1.000	0.8	0.8		0.55	2.2	0.84	9.3	-0.39	1.9	-1.08	0.7	-0.99	0.4	-0.87	0.4	-0.21	0.8	0.75	-1.31
184	Dorian Finney-Smith	SF,PF	DAL	15	33.0	0.419	3.3	7.8		-0.62	0.690	0.6	0.9		-0.26	1.8	0.43	8.9	-0.44	4.2	-0.19	0.7	-0.99	0.9	0.22	0.5	0.00	1.0	0.54	-1.33
185	Walker Kessler	PF,C	UTA	15	15.0	0.671	2.3	3.5		1.27	0.504	0.7	1.3		-1.23	0.0	-1.50	5.3	-0.94	5.2	0.19	0.8	-0.94	0.3	-1.09	1.4	1.92	0.6	0.97	-1.34
186	Isaiah Jackson	PF,C	IND	15	17.5	0.607	2.9	4.7		1.18	0.672	1.9	2.9		-1.03	0.0	-1.50	7.7	-0.61	4.9	0.08	1.2	-0.74	0.4	-0.87	1.3	1.71	1.1	0.43	-1.35
187	Troy Brown Jr	SF,PF	LAL	12	26.7	0.454	3.7	8.1		-0.16	1.000	0.8	0.8		0.55	1.3	-0.16	9.3	-0.39	4.8	0.04	0.8	-0.94	0.8	0.00	0.0	-1.07	0.8	0.75	-1.37
188	Sam Hauser	SF,PF	BOS	16	16.7	0.512	2.7	5.3		0.45	0.760	0.2	0.3		-0.02	2.2	0.84	7.8	-0.60	2.3	-0.93	0.6	-1.04	0.3	-1.09	0.3	-0.43	0.2	1.40	-1.41
189	Usman Garuba	PF,C	HOU	14	16.0	0.597	1.8	3.0		0.72	0.462	0.4	0.9		-0.99	0.4	-1.04	4.4	-1.07	5.5	0.31	1.2	-0.74	0.9	0.22	0.8	0.64	1.0	0.54	-1.41
190	Obi Toppin	PF	NYK	16	18.2	0.463	3.5	7.6		-0.03	0.913	0.6	0.7		0.31	1.6	0.25	9.3	-0.39	4.1	-0.23	1.1	-0.79	0.5	-0.65	0.3	-0.43	1.0	0.54	-1.43
191	Luke Kornet	C	BOS	12	13.1	0.653	1.6	2.4		0.83	0.904	0.8	0.8		0.34	0.2	-1.32	4.1	-1.11	3.7	-0.39	1.2	-0.74	0.2	-1.31	1.1	1.28	0.6	0.97	-1.44
192	Kenyon Martin Jr	SF,PF	HOU	16	25.2	0.531	4.3	8.0		0.91	0.658	1.4	2.2		-0.90	1.1	-0.36	11.0	-0.15	4.9	0.08	1.5	-0.59	0.4	-0.87	0.6	0.21	1.3	0.22	-1.46
193	Drew Eubanks	PF,C	POR	16	18.7	0.714	2.5	3.5		1.54	0.694	1.0	1.4		-0.41	0.0	-1.50	6.0	-0.85	4.3	-0.15	0.8	-0.94	0.5	-0.65	0.9	0.85	0.9	0.65	-1.46
194	Andre Drummond	C	CHI	10	16.4	0.563	3.6	6.4		1.08	0.706	1.2	1.7		-0.42	0.0	-1.50	8.4	-0.51	8.7	1.55	0.8	-0.94	0.7	-0.22	0.3	-0.43	1.6	-0.11	-1.49
195	Jabari Smith	PF,C	HOU	15	30.1	0.310	3.3	10.7		-2.90	0.845	1.8	2.1		0.46	1.7	0.35	10.2	-0.26	7.0	0.89	0.9	-0.89	0.3	-1.09	1.2	1.50	1.1	0.43	-1.51
196	Jalen Smith	PF,C	IND	15	24.4	0.433	4.3	9.9		-0.58	0.690	1.5	2.1		-0.64	1.1	-0.29	11.1	-0.14	8.1	1.32	1.2	-0.74	0.2	-1.31	0.9	0.85	1.5	0.00	-1.52
197	Andrew Nembhard	PG,SG	IND	14	20.2	0.449	2.5	5.6		-0.14	1.000	0.5	0.5		0.37	1.2	-0.20	6.7	-0.75	2.1	-1.01	3.1	0.20	0.9	0.22	0.1	-0.85	0.9	0.65	-1.53
198	Jose Alvarado	PG	NOP	16	19.4	0.477	3.3	6.9		0.14	0.747	0.6	0.8		-0.08	1.3	-0.16	8.4	-0.51	2.4	-0.89	2.9	0.10	0.8	0.00	0.3	-0.43	1.3	0.22	-1.62
199	Tim Hardaway Jr	SG,SF	DAL	14	24.7	0.337	3.7	11.0		-2.46	0.918	2.4	2.6		1.19	2.4	1.03	12.1	0.00	2.2	-0.97	2.3	-0.20	0.8	0.00	0.2	-0.64	1.1	0.43	-1.63
200	Giannis Antetokounmpo	PF,C	MIL	12	32.6	0.506	10.6	20.9		1.35	0.587	7.6	12.9		-8.34	0.8	-0.70	29.5	2.41	12.0	2.83	5.3	1.29	1.0	0.44	1.2	1.50	3.8	-2.47	-1.70
201	Thaddeus Young	PF,C	TOR	14	16.4	0.563	2.3	4.1		0.71	0.803	0.6	0.7		0.05	0.1	-1.42	5.2	-0.96	3.8	-0.35	1.6	-0.54	1.1	0.65	0.1	-0.85	0.6	0.97	-1.74
