R#	PLAYER	POS	TEAM	GP	MPG	FG%	FT%	3PM	PTS	TREB	AST	STL	BLK	TO
76	Kevin Love	PF,C	CLE	54	29.5	-0.08	1.43	0.94	0.42	1.26	0.16	-0.92	-0.53	-0.82
77	Zion Williamson	PF	NOP	60	31.5	5.22	-4.49	-1.24	1.93	1.24	0.07	-0.02	0.05	-1.67
78	Bojan Bogdanovic 	SF,PF	UTA	64	32.9	-0.22	2.50	1.67	1.02	-0.27	-0.18	-0.94	-1.03	-1.10
79	Victor Oladipo	SG,SF	IND	60	31.7	-1.13	0.80	0.56	0.80	0.01	1.05	1.31	-0.72	-1.64
80	Elfrid Payton	PG	NYK	67	32.5	-0.56	-0.86	-1.09	-0.18	0.13	2.90	2.18	-0.12	-1.11
81	Daniel Theis 	C	BOS	70	26.1	1.71	-0.10	-1.10	-0.51	0.89	-0.39	-0.56	1.92	0.70
82	Draymond Green 	PF,C	GSW	67	31.2	-0.60	-0.32	-0.76	-0.69	0.73	2.01	1.18	0.77	-1.14
83	Jarrett Allen	C	BRO	70	26.4	3.03	-1.75	-1.71	-0.35	1.96	-0.56	-0.94	2.18	0.41
84	Hassan Whiteside 	PF,C	SAC	60	22.4	2.60	-1.06	-1.66	-0.43	1.68	-0.91	-1.55	3.14	0.48
85	John Wall	PG	HOU	55	30.1	-0.85	-0.67	0.33	0.57	-0.50	2.81	0.70	0.19	-2.99
86	Michael Porter Jr.	SF,PF	DEN	64	26.4	0.69	0.65	0.59	0.25	0.80	-0.70	-0.27	-0.22	0.04
87	Marcus Smart	PG,SG	BOS	67	32.1	-2.13	0.71	0.90	-0.05	-0.38	1.21	1.72	-0.07	-0.41
88	Kelly Oubre Jr.	SF,PF	GSW	64	31.6	-0.39	-0.01	0.45	0.60	0.22	-0.57	0.80	0.55	0.01
89	Duncan Robinson	SG,SF	MIA	70	30.2	0.26	0.57	2.61	0.06	-0.65	-0.37	-0.58	-0.53	0.74
90	Mike Conley	PG	UTA	58	33.8	-1.17	0.79	0.92	0.59	-0.41	1.50	0.48	-0.98	-0.91
91	Ivica Zubac	C	LAC	68	26.1	2.38	-0.47	-1.73	-0.25	1.80	-0.47	-1.47	1.51	0.35
92	Josh Richardson	SG,SF	DAL	66	32.3	-0.52	0.44	0.60	0.24	-0.57	0.17	0.51	0.70	-0.76
93	Delon Wright	SG,SF	DET	68	27.8	0.23	0.10	-0.72	-0.66	0.15	0.95	1.52	-0.26	0.14
94	OG Anunoby	SF,PF	TOR	70	30.8	0.27	-0.49	-0.09	-0.33	0.25	-0.40	1.60	0.50	0.15
95	Evan Fournier	SG,SF	ORL	67	31.1	-0.32	0.65	1.25	0.62	-0.88	0.42	0.48	-0.79	-0.39
96	Serge Ibaka	PF,C	LAC	62	28.2	1.51	-0.80	-0.24	0.32	1.42	-0.55	-0.94	0.67	-0.54
97	Nerlens Noel	PF,C	NYK	65	23.0	1.25	-0.59	-1.73	-0.92	0.45	-0.73	0.73	2.71	0.27
98	Maxi Kleber	PF,C	DAL	70	27.1	0.64	0.39	0.33	-0.46	0.36	-0.54	-1.40	1.63	0.74
99	Derrick Rose	PG,SG	DET	64	25.5	0.71	1.00	-0.70	0.63	-0.99	1.37	-0.22	-0.50	-1.12
100	Steven Adams	C	NOP	70	27.4	2.56	-2.63	-1.73	-0.33	1.90	-0.03	-0.17	1.44	-0.23
101	JJ Redick	SG	NOP	64	26.4	-0.02	1.74	1.92	0.39	-0.87	-0.18	-1.40	-0.77	0.35
102	Jerami Grant	SF,PF	DET	70	30.4	0.35	-0.19	0.19	0.11	-0.14	-0.55	-0.19	1.15	0.51
103	Darius Bazley	SF,PF	OKL	64	27.1	-0.50	-0.11	0.43	-0.13	0.58	-0.55	-0.24	1.32	0.16
104	Lou Williams	PG,SG	LAC	68	27.2	-1.10	2.02	0.10	0.64	-0.73	1.60	-0.56	-0.82	-1.28
105	Rui Hachimura	SF,PF	WAS	67	32.4	0.27	0.82	-0.86	0.22	0.93	-0.18	0.31	-0.72	0.14
106	Otto Porter Jr.	SF,PF	CHI	50	28.4	0.01	0.10	0.43	0.08	-0.38	-0.17	0.73	-0.12	0.48
107	Markelle Fultz	PG,SG	ORL	70	30.1	-0.14	-0.06	-0.58	0.13	-0.43	1.73	0.99	-0.74	-0.72
108	PJ Washington	SF,PF	CHA	70	32.4	0.11	-1.16	0.28	0.20	0.44	-0.06	0.17	0.79	-0.42
109	Terry Rozier	PG	CHA	70	27.8	-0.89	1.14	1.11	0.34	-0.49	0.31	0.17	-0.86	-0.61
110	Aaron Gordon	SF,PF	ORL	68	32.5	-0.57	-0.96	-0.11	0.27	1.26	0.76	-0.17	0.19	-0.09
111	DeAndre Jordan	C	BRO	68	22.0	2.64	-0.87	-1.73	-0.77	2.08	-0.35	-1.43	1.01	0.16
112	Devonte' Graham	PG,SG	CHA	70	30.6	-2.59	0.71	1.71	0.34	-0.73	1.89	0.44	-0.84	-1.19
113	Bogdan Bogdanovic	SG,SF,PF	ATL	62	29.8	-0.27	0.07	1.20	0.17	-0.61	0.46	0.39	-0.82	-0.09
114	Kevon Looney	PF,C	GSW	64	22.7	1.13	-0.29	-1.73	-0.78	0.86	-0.13	1.02	0.29	0.28
115	Julius Randle	PF,C	NYK	65	32.2	0.18	-1.05	-0.40	0.75	1.83	0.34	-0.24	-0.58	-1.62
116	Davis Bertans	PF,C	WAS	60	27.1	-0.54	0.45	1.91	0.00	-0.35	-0.52	-0.68	-0.02	0.70
117	Marvin Bagley III 	PF,C	SAC	58	28.6	0.45	0.25	-1.24	0.21	1.36	-0.85	-0.82	1.08	-0.12
118	Danilo Gallinari	SF,PF	ATL	58	26.2	-0.26	2.13	0.92	0.14	-0.30	-0.49	-0.82	-1.06	0.47
119	Killian Hayes	PG,SG	DET	64	28.6	-0.70	0.68	-0.68	0.05	-0.68	1.96	0.73	-0.72	-1.28
120	Nemanja Bjelica	PF	SAC	70	24.2	0.52	0.18	0.16	-0.48	0.30	0.02	-0.46	-0.02	0.39
121	Marc Gasol	C	LAL	60	25.7	-0.40	-0.21	-0.22	-0.87	0.64	0.54	-0.17	0.94	0.26
122	Blake Griffin	PF,C	DET	58	32.4	-0.33	-0.22	0.10	0.47	1.01	0.66	-0.87	-0.22	-1.20
123	Patrick Beverley	PG,SG	LAC	60	26.9	-0.38	-0.44	0.17	-0.77	0.28	0.75	0.63	-0.02	0.22
124	Donte DiVincenzo	PG,SG	MIL	68	25.2	-0.04	-0.16	-0.11	-0.48	0.21	0.06	1.28	-0.48	0.02
125	Tyler Herro	PG,SG,SF	MIA	64	31.2	-1.01	0.96	1.16	0.36	-0.02	0.07	-0.48	-0.72	-0.34
126	Paul Millsap	PF,C	DEN	60	24.1	0.43	0.48	-0.49	-0.29	0.36	-0.46	0.00	0.14	0.20
127	Terrence Ross 	SG,SF	ORL	67	27.4	-1.00	0.95	1.23	0.21	-0.63	-0.67	0.51	-0.55	0.64
128	Larry Nance Jr.	PF,C	CLE	56	25.8	1.30	-0.43	-0.58	-0.52	0.19	-0.17	0.51	-0.19	0.35
129	Coby White	PG,SG	CHI	70	32.1	-1.61	0.39	1.35	0.60	-0.14	0.55	0.27	-1.03	-0.78
130	DeMarcus Cousins 	PF,C	HOU	30	23.2	0.54	-0.77	-0.65	-0.50	0.56	-0.26	-0.02	1.42	-0.72
131	Miles Bridges	SF,PF	CHA	70	29.4	-0.16	0.06	-0.06	0.06	0.34	-0.37	-0.60	0.82	0.00
132	Malik Beasley 	PG,SG	MIN	64	26.3	-0.13	0.40	1.09	0.07	-0.81	-0.38	0.63	-0.91	0.29
133	Aron Baynes	C	TOR	58	28.6	0.53	-0.13	-0.05	0.00	1.09	-0.18	-1.52	0.29	-0.02
134	Jordan Clarkson	PG,SG	UTA	67	24.7	-0.30	1.30	0.65	0.30	-0.91	0.05	-0.63	-0.53	0.22
135	Will Barton	SG,SF	DEN	68	27.5	-0.37	-0.03	0.10	-0.13	0.17	0.27	0.05	-0.19	0.27
136	Ricky Rubio	PG	MIN	64	26.4	-0.81	1.01	-0.67	-0.50	-0.59	2.00	0.53	-0.89	-0.63
137	Kevin Porter Jr.	SG,SF	CLE	64	27.9	-0.08	-0.22	0.27	0.08	-0.18	0.17	0.41	-0.29	-1.03
138	Montrezl Harrell	PF,C	LAL	64	26.1	3.24	-2.41	-1.73	0.39	0.64	-0.49	-0.87	1.08	0.04
139	JaVale McGee	C	CLE	68	17.2	2.15	-0.57	-1.73	-1.00	0.51	-1.04	-0.89	2.21	0.84
140	Tyrese Haliburton	PG,SG	SAC	64	26.4	-0.27	0.13	-0.11	-0.24	-0.56	0.75	0.85	-0.60	-0.68
141	LaMelo Ball	PG,SG	CHA	65	28.4	-1.80	-0.48	0.12	-0.01	0.14	2.06	0.82	-0.77	-1.41
142	Seth Curry	PG,SG	PHI	67	26.7	0.66	0.25	1.24	0.08	-0.95	-0.22	-0.53	-0.98	0.40
143	Darius Garland	PG	CLE	70	31.6	-1.07	0.85	0.92	0.30	-1.07	1.11	-0.07	-1.01	-1.61
144	Andrew Wiggins	SG,SF	GSW	67	32.8	-0.43	-1.13	0.24	0.82	-0.26	0.39	-0.58	0.72	-0.89
145	P.J. Tucker	PF,C	HOU	71	34.7	-0.43	-0.07	0.00	-0.96	0.78	-0.44	0.53	-0.05	0.63
146	Cody Zeller	C	CHA	58	26.1	1.09	-0.79	-1.26	-0.23	0.87	-0.39	-0.22	0.43	0.05
147	James Wiseman 	C	GSW	65	25.2	1.25	-1.02	-1.73	-0.50	1.34	-1.14	-1.40	2.52	0.57
148	Derrick Jones Jr.	SG,SF	POR	54	26.4	0.28	-0.12	-0.92	-0.53	-0.06	-0.61	0.68	0.43	1.12
149	Dwight Powell	PF,C	DAL	68	26.8	2.40	-1.41	-1.42	-0.58	0.44	-0.45	0.02	0.22	0.74
150	Joe Harris	SG,SF	BRO	70	30.2	0.70	-0.22	1.12	0.14	-0.38	-0.39	-0.82	-0.77	-0.06
151	Joe Ingles	SG,SF	UTA	68	27.6	-0.23	-0.03	0.39	-0.65	-0.46	1.34	-0.12	-0.82	-0.36
152	Royce O'Neale	SF,PF	UTA	70	28.2	0.02	-0.07	-0.28	-1.03	0.25	0.02	0.31	-0.10	0.65
153	Tim Hardaway Jr.	SG,SF	DAL	67	29.6	-0.66	0.42	1.58	0.40	-0.56	-0.28	-0.68	-1.01	0.28
154	Harrison Barnes	SF,PF	SAC	70	33.8	0.19	0.64	-0.11	0.13	0.03	-0.16	-0.75	-0.82	0.46
155	Jeremy Lamb 	SG,SF	IND	58	24.7	-0.10	0.57	-0.53	-0.35	-0.39	-0.31	0.39	-0.22	0.68
156	Mo Bamba 	C	ORL	63	17.6	0.05	-0.65	-0.74	-1.03	0.52	-0.86	-0.97	2.69	0.81
157	Trevor Ariza 	SG,SF	OKL	58	24.8	-0.17	0.39	0.17	-0.94	0.04	-0.40	0.80	-0.77	0.30
158	Gary Harris	SG,SF	DEN	67	31.4	-0.85	0.35	-0.09	-0.29	-0.66	-0.09	1.28	-0.53	0.16
159	Dennis Schroder	PG	LAL	67	28.9	-0.20	0.81	0.09	0.35	-0.70	0.53	-0.73	-0.86	-0.65
160	Matisse Thybulle 	SG,SF	PHI	64	25.1	-0.22	-0.37	-0.47	-1.06	-1.08	-0.51	1.89	0.79	0.65
161	Goran Dragic	PG,SG	MIA	48	26.5	-0.52	-0.16	0.51	0.28	-0.70	1.31	-0.56	-0.82	-0.93
162	Troy Brown Jr.	SG,SF	WAS	67	25.8	-0.24	0.15	-0.49	-0.43	0.27	0.08	0.70	-1.03	0.40
163	Dorian Finney-Smith	SF,PF	DAL	70	26.1	0.08	-0.24	0.03	-0.66	0.24	-0.44	-0.29	0.22	0.69
164	Aaron Holiday	PG	IND	67	26.9	-0.38	0.46	0.01	-0.37	-0.90	0.73	-0.02	-0.48	0.14
165	Spencer Dinwiddie	PG,SG	BRO	64	27.8	-0.60	0.27	0.10	0.46	-0.86	1.37	-0.94	-0.55	-1.11
166	Danuel House Jr.	SF,PF	HOU	58	28.9	-0.50	-0.02	0.43	-0.50	-0.31	-0.65	0.39	-0.12	0.92
